1,43,2,1,1,4,2,1
2,55,1,1,0,1,2,1
3,15,1,2,0,1,2,1
4,23,1,1,0,2,2,1
5,46,1,2,0,3,2,1
6,30,1,1,0,1,2,1
7,50,1,2,1,6,2,1
8,46,1,2,0,1,2,1
9,19,1,1,0,1,2,1
10,40,2,2,0,4,2,1
11,24,3,1,0,1,2,1
12,26,1,2,0,1,2,1
13,17,1,2,0,2,2,1
14,26,1,2,0,2,2,1
15,21,1,1,0,1,2,1
16,35,2,1,0,1,1,1
17,50,1,2,0,2,2,1
18,23,2,1,0,2,2,1
19,50,2,1,0,1,2,1
20,35,1,2,0,4,2,1
21,35,1,1,0,2,2,1
22,35,1,1,0,3,2,1
23,35,1,2,0,1,2,1
24,52,1,1,0,2,1,1
25,60,1,1,0,2,2,1
26,32,2,1,0,2,1,1
27,35,1,1,0,1,2,1
28,22,1,2,0,1,2,1
29,28,1,2,0,1,2,1
30,28,1,1,0,1,2,1
31,20,1,2,1,3,2,1
32,24,1,1,0,1,2,1
33,35,1,2,0,2,2,1
34,30,1,2,1,3,2,1
35,21,1,1,0,2,2,1
36,41,2,1,0,1,1,1
37,50,1,2,0,2,2,1
38,50,1,2,1,3,2,1
39,20,2,1,0,1,1,1
40,65,1,2,0,2,1,1
41,40,1,2,0,1,2,1
42,40,1,1,0,1,2,1
43,25,2,1,1,1,1,1
44,19,1,2,0,1,2,1
45,30,1,1,0,2,2,1
46,27,1,1,0,1,2,1
47,16,2,2,1,2,1,1
48,40,1,2,0,1,2,1
49,31,1,1,0,3,2,1
50,70,1,2,0,2,2,1
51,55,1,2,0,1,2,1
52,45,1,1,0,2,2,1
53,55,2,1,0,1,2,1
54,29,2,1,0,2,2,1
55,15,1,1,0,2,2,1
56,36,1,2,0,3,2,1
57,22,1,2,0,1,2,1
58,19,1,2,0,1,2,1
59,50,1,2,0,1,2,1
60,24,2,1,1,1,1,1
61,32,1,1,1,1,2,1
62,31,2,1,0,2,2,1
63,30,2,1,1,2,2,1
64,22,1,2,0,2,2,1
65,27,1,1,0,1,2,1
66,25,1,1,0,1,1,1
67,47,1,2,0,1,2,1
68,32,1,1,0,2,2,1
69,74,1,2,0,2,2,1
70,37,2,1,0,1,2,1
71,30,1,2,0,3,2,1
72,28,3,1,0,2,1,1
73,50,1,2,0,1,2,1
74,49,2,1,0,2,1,1
75,25,1,2,0,3,1,1
76,22,2,1,1,1,1,1
77,30,2,1,1,3,1,1
78,48,1,1,0,1,2,1
79,23,3,1,1,2,1,1
80,20,1,1,0,1,2,1
81,40,3,2,1,2,1,1
82,27,1,2,0,2,2,1
83,32,1,1,0,2,2,1
84,55,1,2,0,1,2,1
85,25,1,1,0,1,2,1
86,67,1,2,0,2,2,1
87,27,1,1,0,2,2,1
88,24,1,1,0,2,1,1
89,48,1,1,1,3,1,1
90,30,1,2,0,2,2,1
